system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10186] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10204] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\PracticaGITgraficos1\Project1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10301] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10319] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\PracticaGITgraficos1\Project1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10412] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10428] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\PracticaGITgraficos1\Project1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10494] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10508] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\PracticaGITgraficos1\Project1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10576] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10590] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\PracticaGITgraficos1\Project1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10658] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10671] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\PracticaGITgraficos1\Project1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10734] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10746] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\PracticaGITgraficos1\Project1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10811] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10826] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\PracticaGITgraficos1\Project1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10893] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10907] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\PracticaGITgraficos1\Project1\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.10921] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_30.dll
system   D            wsystem.c:635  load_library_at_path             [   0.10924] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_30.dll
system   I            wsystem.c:638  load_library_at_path             [   0.11100] Loaded C:\WINDOWS\system32\d3dx9_30.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.11107] Module "d3dx9_30.dll" loaded.
bitmap   W          bitmap_io.c:211  al_load_bitmap_flags             [   0.11217] Failed loading image.jpg with .jpg handler.
d3d      I         d3d_disp.cpp:899  d3d_destroy_display              [   6.98673] destroying display 012BC7A8 (current 00000000)
d3d      D         d3d_disp.cpp:883  d3d_destroy_display_internals    [   6.98916] waiting for display 012BC7A8's thread to end
d3d      W         d3d_disp.cpp:593  d3d_destroy_device               [   6.99453] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1551 d3d_display_thread_proc          [   7.01493] d3d display thread exits
